code_site;libelle_site;code_station;libelle_station;type_station;coordonnee_x_station;coordonnee_y_station;code_projection;longitude_station;latitude_station;influence_locale_station;commentaire_station;altitude_ref_alti_station;code_systeme_alti_site;code_commune_station;libelle_commune;code_departement;code_region;libelle_region;code_cours_eau;libelle_cours_eau;uri_cours_eau;descriptif_station;date_maj_station;date_ouverture_station;date_fermeture_station;commentaire_influence_locale_station;code_regime_station;qualification_donnees_station;code_finalite_station;type_contexte_loi_stat_station;type_loi_station;code_sandre_reseau_station;date_debut_ref_alti_station;date_activation_ref_alti_station;date_maj_ref_alti_station;libelle_departement;en_service
U0204001;L'Amance à Maizières-sur-Amance;U020400101;L'Amance à Maizières-sur-Amance;LIMNI;896428;6750379;26;5.625590335711707;47.82441156713717;1;NA;NA;NA;52303;MAIZIERES-SUR-AMANCE;52;44;GRAND EST;U02-0400;L'Amance;http://id.eaufrance.fr/CEA/U02-0400;NA;2021-01-19T00:00:00Z;2002-08-07T00:00:00Z;NA;NA;1;20;NA;NA;NA;600000184,POH005,POH045,POH106,POH900,RIC063,RIC313;NA;NA;NA;HAUTE-MARNE;TRUE
U0230010;La Saône à Cendrecourt;U023001001;La Saône à Cendrecourt;LIMNI;919156;6754861;26;5.931346878521073;47.85752843849984;3;Le 01/02/2008 : le producteur DIREN Rhône-Alpes/Bassin RMC est remplacé par la DIREN Bourgogne. Le 10/02/2010 : le producteur DIREN Bourgogne est remplacé par la DREAL Franche-Comté.;213000;3;70114;CENDRECOURT;70;27;BOURGOGNE-FRANCHE-COMTE;U---0000;La Saône;http://id.eaufrance.fr/CEA/U---0000;NA;2021-01-19T00:00:00Z;1963-09-05T00:00:00Z;NA;NA;1;20;12;1;2;600000184,BSH001,BSH052,BSH101,BSH152,POH005,POH045,POH106,POH900,RIC014,RIC063,RIC113,RIC313;1963-09-05T00:00:00Z;2013-11-18T00:00:00Z;2020-12-22T00:00:00Z;HAUTE-SAONE;TRUE
U0234010;L'Amance à Raincourt;U023401001;L'Amance à Raincourt;LIMNI;914910;6754365;26;5.874363268444733;47.85447201431344;1;NA;NA;NA;70436;RAINCOURT;70;27;BOURGOGNE-FRANCHE-COMTE;U02-0400;L'Amance;http://id.eaufrance.fr/CEA/U02-0400;NA;2021-05-12T00:00:00Z;1974-04-26T00:00:00Z;1997-03-18T00:00:00Z;NA;1;20;1;1;2;600000184;NA;NA;NA;HAUTE-SAONE;FALSE
U0415010;Le Breuchin à la Proiselière-et-Langle;U041501001;Le Breuchin à la Proiselière-et-Langle;LIMNI;961876;6753242;26;6.501105893259112;47.82731348238666;1;NA;342000;2;70425;PROISELIERE-ET-LANGLE;70;27;BOURGOGNE-FRANCHE-COMTE;U0410500;Le Breuchin;http://id.eaufrance.fr/CEA/U0410500;NA;2021-01-19T00:00:00Z;1967-08-09T00:00:00Z;NA;NA;1;20;12;1;2;600000184,BSH001,BSH052,BSH101,BSH152,POH005,POH045,POH106,POH900,RIC063,RIC313;1967-08-09T00:00:00Z;2013-11-18T00:00:00Z;2016-10-06T00:00:00Z;HAUTE-SAONE;TRUE
U0415020;Le Breuchin à Froideconche [La Lie aux Moines];U041502001;Le Breuchin à Froideconche [La Lie aux Moines];LIMNI;956872;6753716;26;6.434566405720332;47.83355262417183;1;NA;NA;NA;70258;FROIDECONCHE;70;27;BOURGOGNE-FRANCHE-COMTE;U0410500;Le Breuchin;http://id.eaufrance.fr/CEA/U0410500;NA;2021-05-12T00:00:00Z;1978-05-30T00:00:00Z;1979-11-29T00:00:00Z;NA;1;20;12;1;2;600000184;NA;NA;NA;HAUTE-SAONE;FALSE
U0415030;Le Breuchin à Breuches [Champs Coquards];U041503001;Le Breuchin à Breuches [Champs Coquards];LIMNI;947917;6749676;26;6.312709707892135;47.80066777383811;1;NA;NA;NA;70093;BREUCHES;70;27;BOURGOGNE-FRANCHE-COMTE;U0410500;Le Breuchin;http://id.eaufrance.fr/CEA/U0410500;NA;2021-10-07T00:00:00Z;2000-09-15T00:00:00Z;NA;NA;1;16;12;1;2;600000184,POH005,POH045,POH106,POH900;NA;NA;NA;HAUTE-SAONE;TRUE
U0424010;La Lanterne à Briaucourt;U042401001;La Lanterne à Briaucourt;LIMNI;943986;6751653;26;6.261333648019274;47.8199179665237;1;NA;NA;NA;70097;BRIAUCOURT;70;27;BOURGOGNE-FRANCHE-COMTE;U04-0400;La Lanterne;http://id.eaufrance.fr/CEA/U04-0400;NA;2021-05-12T00:00:00Z;1968-06-28T00:00:00Z;1975-05-28T00:00:00Z;NA;1;20;12;1;2;NA;NA;NA;NA;HAUTE-SAONE;FALSE
U0444310;La Sémouse à Saint-Loup-sur-Semouse;U044431001;La Sémouse à Saint-Loup-sur-Semouse;LIMNI;944462;6758982;26;6.271745842533125;47.885644722734;1;NA;NA;NA;70467;SAINT-LOUP-SUR-SEMOUSE;70;27;BOURGOGNE-FRANCHE-COMTE;U04-0430;La Semouse;http://id.eaufrance.fr/CEA/U04-0430;NA;2021-01-19T00:00:00Z;1974-05-16T00:00:00Z;NA;NA;1;20;12;1;2;600000184,BSH001,BSH052,BSH101,BSH152,POH005,POH045,POH106,POH900,RIC063,RIC313;NA;NA;NA;HAUTE-SAONE;TRUE
U0455010;La Combeauté au Val-d'Ajol;U045501001;La Combeauté au Val-d'Ajol;LIMNI;959778;6763787;26;6.479301348330957;47.92295792132982;3;NA;NA;NA;88487;VAL-D'AJOL;88;44;GRAND EST;U0450500;La Combeauté;http://id.eaufrance.fr/CEA/U0450500;NA;2021-02-15T00:00:00Z;1988-12-31T00:00:00Z;NA;NA;1;20;12;1;2;600000184,POH005,POH045,POH106,POH900,RIC063,RIC313;NA;NA;NA;VOSGES;TRUE
U0460500;Le Planey [source] à Anjeux [amont];U046050001;Le Planey [source] à Anjeux [amont];LIMNI;941531;6758043;26;6.232048909987016;47.878287140583346;1;NA;NA;NA;70023;ANJEUX;70;27;BOURGOGNE-FRANCHE-COMTE;U0460500;Le Planey;http://id.eaufrance.fr/CEA/U0460500;NA;2021-05-12T00:00:00Z;1995-10-12T00:00:00Z;2002-02-28T00:00:00Z;NA;1;20;12;1;2;NA;NA;NA;NA;HAUTE-SAONE;FALSE
