code_site;libelle_site;code_station;libelle_station;type_station;coordonnee_x_station;coordonnee_y_station;code_projection;longitude_station;latitude_station;influence_locale_station;commentaire_station;altitude_ref_alti_station;code_systeme_alti_site;code_commune_station;libelle_commune;code_departement;code_region;libelle_region;code_cours_eau;libelle_cours_eau;uri_cours_eau;descriptif_station;date_maj_station;date_ouverture_station;date_fermeture_station;commentaire_influence_locale_station;code_regime_station;qualification_donnees_station;code_finalite_station;type_contexte_loi_stat_station;type_loi_station;code_sandre_reseau_station;date_debut_ref_alti_station;date_activation_ref_alti_station;date_maj_ref_alti_station;libelle_departement;en_service
O1494310;Le Touyre à Lavelanet et à Saint-Quentin-la-Tour;O149431003;Le Touyre à Lavelanet;LIMNI;606119;6205291;26;1.8508243279474552;42.9408618231427;1;NA;507000;2;09160;LAVELANET;09;76;OCCITANIE;O14-0430;Le Touyre;http://id.eaufrance.fr/CEA/O14-0430;NA;2020-06-26T00:00:00Z;1969-01-01T00:00:00Z;NA;NA;1;20;2;1;2;POH015,POH034,POH115,RIC053,RIC303;1969-01-01T00:00:00Z;2013-11-18T00:00:00Z;2013-11-18T00:00:00Z;ARIEGE;TRUE
O1494330;Le Touyre à Léran;O149433001;Le Touyre à Léran;LIMNI;611197;6210601;26;1.912079398369399;42.98925771083007;1;NA;NA;NA;09161;LERAN;09;76;OCCITANIE;O14-0430;Le Touyre;http://id.eaufrance.fr/CEA/O14-0430;NA;2021-05-12T00:00:00Z;1978-09-01T00:00:00Z;NA;NA;1;20;12;1;2;POH015,POH034,POH115,POH901;NA;NA;NA;ARIEGE;TRUE
O1494332;Le Touyre à Saint-Quentin-la-Tour;O149433201;Le Touyre à Saint-Quentin-la-Tour;LIMNI;611930;6214594;26;1.9203894298142223;43.02525588955476;0;NA;NA;NA;09274;SAINT-QUENTIN-LA-TOUR;09;76;OCCITANIE;O14-0430;Le Touyre;http://id.eaufrance.fr/CEA/O14-0430;NA;2021-01-19T00:00:00Z;1969-01-01T00:00:00Z;1979-01-01T00:00:00Z;NA;1;20;NA;NA;NA;NA;NA;NA;NA;ARIEGE;FALSE
O1520001;L'Ambrone à Caudeval;O152000101;L'Ambrone à Caudeval;LIMNI;615209;6220669;26;1.9595993196574737;43.08028453909957;0;NA;NA;NA;11080;VAL DE LAMBRONNE;11;76;OCCITANIE;O15-0400;L'Ambrone;http://id.eaufrance.fr/CEA/O15-0400;NA;2021-01-19T00:00:00Z;1972-11-01T00:00:00Z;2008-01-01T00:00:00Z;NA;1;16;NA;1;0;NA;NA;NA;NA;AUDE;FALSE
O1532910;Le Grand Hers à Roumengoux;O153291001;Le Grand Hers à Roumengoux;LIMNI;613146;6220946;26;1.9342431081136953;43.082528229156566;1;NA;NA;NA;09251;ROUMENGOUX;09;76;OCCITANIE;O1--0290;Le Grand Hers;http://id.eaufrance.fr/CEA/O1--0290;NA;2021-05-12T00:00:00Z;1991-01-01T00:00:00Z;NA;NA;1;20;12;1;2;POH015,POH034,POH115,POH901;NA;NA;NA;ARIEGE;TRUE
O1532920;Le Grand Hers à Mirepoix;O153292001;Le Grand Hers à Mirepoix;LIMNI;608392;6222225;26;1.875692567665108;43.09343767095432;NA;NA;NA;NA;09194;MIREPOIX;09;76;OCCITANIE;O1--0290;Le Grand Hers;http://id.eaufrance.fr/CEA/O1--0290;NA;2020-06-26T00:00:00Z;1988-01-01T00:00:00Z;NA;NA;1;16;2;1;2;POH015,POH034,POH115,POH901,RIC004,RIC053,RIC103,RIC253,RIC303;NA;NA;NA;ARIEGE;TRUE
O1560001;Le Douctouyre à Ilhat;O156000101;Le Douctouyre à Ilhat;LIMNI;599463;6206349;26;1.7691606696921374;42.949473312170305;0;Source à usage AEP dont l'eau non prélevée participe à l'alimentation d'un affluent de la rivière de Douctouyre. Hauteur mesurée en amont du prélèvement d'eau potable.Seuil de mesure: rectangulaire à crête mince de 80 cm de largeur.;NA;NA;09142;ILHAT;09;76;OCCITANIE;O15-0430;Le Douctouyre;http://id.eaufrance.fr/CEA/O15-0430;NA;2021-01-19T00:00:00Z;2015-03-19T00:00:00Z;NA;NA;1;20;17;NA;NA;NA;NA;NA;NA;ARIEGE;TRUE
O1576910;Le ruisseau de Senesse à Limbrassac;O157691001;Le ruisseau de Senesse à Limbrassac;LIMNI;605211;6212607;26;1.8383939894582737;43.006529907369085;1;NA;NA;NA;09169;LIMBRASSAC;09;76;OCCITANIE;O1570640;Ruisseau de Senesse;http://id.eaufrance.fr/CEA/O1570640;NA;2021-01-19T00:00:00Z;1972-10-01T00:00:00Z;2001-01-02T00:00:00Z;NA;1;20;12;1;2;NA;NA;NA;NA;ARIEGE;FALSE
O1584610;Le Douctouyre à Dun et à Vira [Engraviès];O158461001;Le Douctouyre à Dun [Engraviès];LIMNI;599910;6216805;26;1.772642695367674;43.04355975371825;1;NA;NA;NA;09107;DUN;09;76;OCCITANIE;O15-0430;Le Douctouyre;http://id.eaufrance.fr/CEA/O15-0430;Le Douctouyre à Dun [Engraviès];2021-08-04T00:00:00Z;1968-01-01T00:00:00Z;NA;NA;1;20;12;1;2;POH015,POH034,POH115,POH901,RIC053;NA;NA;NA;ARIEGE;TRUE
O1634010;La Vixiège à Belpech;O163401001;La Vixiège à Belpech;LIMNI;598338;6234416;26;1.749950682306031;43.20171853246762;1;Station de Belpech en panne depuis le 12/09/2006 , remise en service et modernisé le 23/11/2006 données exploitables à compter du 29/11/2006. Le 16/04/2008 : modification sur demande DIREN MP - Producteur = DIREN Midi-Pyrénées - Producteur associé = DDE de l'Aude.;232000;2;11033;BELPECH;11;76;OCCITANIE;O16-0400;La Vixiège;http://id.eaufrance.fr/CEA/O16-0400;NA;2021-01-19T00:00:00Z;1969-02-01T00:00:00Z;NA;NA;1;20;1;1;2;POH015,POH034,POH115,POH901;1969-02-01T00:00:00Z;2013-11-18T00:00:00Z;2019-08-29T00:00:00Z;AUDE;TRUE
